circuitId,circuit_name,country,location,lat,lng,alt,n_races,n_results,avg_fastestLapSpeed,first_year,last_year,overtake_share_gain,overtake_avg_abs_gain
9,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694,153,33,525,224.31203647416413,1990,2021,0.6262975778546713,2.8961937716262978
11,Hungaroring,Hungary,Budapest,47.5789,19.2486,264,32,507,188.64833653846154,1990,2021,0.5416666666666666,2.7037037037037037
14,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111,162,31,480,242.37573615635176,1990,2020,0.5912408759124088,2.835766423357664
4,Circuit de Barcelona-Catalunya,Spain,Montmeló,41.57,2.26111,109,31,481,198.32975816993465,1991,2021,0.546875,1.9739583333333333
6,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056,7,31,418,155.11785501858736,1990,2021,0.6029411764705882,2.676470588235294
18,Autódromo José Carlos Pace,Brazil,São Paulo,-23.7036,-46.6997,785,30,444,206.09232258064517,1990,2019,0.5879396984924623,2.9547738693467336
13,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139,401,30,470,226.71198513011151,1990,2021,0.6435331230283912,3.4574132492113563
7,Circuit Gilles Villeneuve,Canada,Montreal,45.5,-73.5228,13,29,414,202.7075125,1990,2019,0.5906735751295337,3.564766839378238
22,Suzuka Circuit,Japan,Suzuka,34.8431,136.541,45,28,441,215.63570588235297,1990,2019,0.5892116182572614,2.7344398340248963
1,Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,10,24,308,214.05331004366812,1996,2019,0.6335078534031413,3.397905759162304
10,Hockenheimring,Germany,Hockenheim,49.3278,8.56583,103,24,343,210.96357471264366,1990,2019,0.6108374384236454,3.689655172413793
21,Autodromo Enzo e Dino Ferrari,Italy,Imola,44.3439,11.7167,37,19,250,217.73896103896107,1990,2021,0.6052631578947368,2.5526315789473686
2,Sepang International Circuit,Malaysia,Kuala Lumpur,2.76083,101.738,18,19,298,200.48463675213674,1999,2017,0.6219512195121951,3.5304878048780486
8,Circuit de Nevers Magny-Cours,France,Magny Cours,46.8642,3.16361,228,18,262,204.93015294117646,1991,2008,0.5,1.9259259259259258
3,Bahrain International Circuit,Bahrain,Sakhir,26.0325,50.5106,7,18,313,204.0947891373802,2004,2021,0.6020942408376964,2.7853403141361257
20,Nürburgring,Germany,Nürburg,50.3356,6.9475,578,17,253,197.613893129771,1995,2020,0.6811594202898551,3.427536231884058
17,Shanghai International Circuit,China,Shanghai,31.3389,121.22,5,16,292,195.58779109589042,2004,2019,0.5185185185185185,2.857142857142857
15,Marina Bay Street Circuit,Singapore,Marina Bay,1.2914,103.864,18,12,203,166.2085369458128,2008,2019,0.6326530612244898,3.312925170068027
24,Yas Marina Circuit,UAE,Abu Dhabi,24.4672,54.6031,3,12,221,192.35613122171947,2009,2020,0.5474452554744526,2.5328467153284673
70,Red Bull Ring,Austria,Spielberg,47.2197,14.7647,678,10,171,223.90821052631577,2014,2021,0.5211267605633803,2.4507042253521125
5,Istanbul Park,Turkey,Istanbul,40.9517,29.405,130,8,145,212.9961724137931,2005,2020,0.6352941176470588,2.6941176470588237
19,Indianapolis Motor Speedway,USA,Indianapolis,39.795,-86.2347,223,8,95,205.93378048780488,2000,2007,0.5555555555555556,3.2222222222222223
32,Autódromo Hermanos Rodríguez,Mexico,Mexico City,19.4042,-99.0907,2227,8,131,189.78317441860463,1990,2019,0.48214285714285715,1.8928571428571428
69,Circuit of the Americas,USA,Austin,30.1328,-97.6411,161,8,136,196.02623529411764,2012,2019,0.5569620253164557,2.810126582278481
71,Sochi Autodrom,Russia,Sochi,43.4057,39.9578,2,7,119,210.81530508474575,2014,2020,0.5294117647058824,2.7941176470588234
12,Valencia Street Circuit,Spain,Valencia,39.4589,-0.331667,4,5,99,191.74465656565658,2008,2012,0.578125,2.984375
73,Baku City Circuit,Azerbaijan,Baku,40.3725,49.8533,-7,5,77,203.17506493506494,2016,2021,0.6721311475409836,3.7704918032786887
